Código do Ativo,Data e Hora do Registro,Equipamento,Fabricante,Modelo,Número de Série (S/N),Número de Patrimônio / TAG,Setor / Localização,Observações / Diagnósticos,Condição de Uso
SN-01604BC/00,,Bomba de Infusão,Samtronic,ICATU S-4.0-ENTERAL,01604BC/00,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-01639BC/00,,Bomba de Infusão,Samtronic,ICATU S-4.0-ENTERAL,01639BC/00,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-01658BC/00,,Bomba de Infusão,Samtronic,ICATU S-4.0-ENTERAL,01658BC/00,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-01665BC/00,,Bomba de Infusão,Samtronic,ICATU S-4.0-ENTERAL,01665BC/00,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-01667BC/00,,Bomba de Infusão,Samtronic,ICATU S-4.0-ENTERAL,01667BC/00,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-01722BC/00,,Bomba de Infusão,Samtronic,ICATU S-4.0-ENTERAL,01722BC/00,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-03488BC/00,,Bomba de Infusão,Samtronic,ICATU S-4.0-ENTERAL,03488BC/00,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-58030V/00,,Bomba de Infusão,Samtronic,ICATU S-4.0,58030V/00,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-61661V/01,,Bomba de Infusão,Samtronic,ICATU S-4.0,61661V/01,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-65350V/01,,Bomba de Infusão,Samtronic,ICATU S-4.0,65350V/01,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-65352V/01,,Bomba de Infusão,Samtronic,ICATU S-4.0,65352V/01,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-69733V/01,,Bomba de Infusão,Samtronic,ICATU S-4.0,69733V/01,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-74710V/01,,Bomba de Infusão,Samtronic,ICATU S-4.0,74710V/01,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-74945V/01,,Bomba de Infusão,Samtronic,ICATU S-4.0,74945V/01,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-68820V/01,,Bomba de Infusão,Samtronic,ICATU S-4.0-INTELLI WIFI,68820V/01,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-74272V/01,,Bomba de Infusão,Samtronic,ICATU S-4.0-INTELLI WIFI,74272V/01,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-65324V/01,,Bomba de Infusão,Samtronic,ICATU S-3-ED,65324V/01,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-30634 E,,Bomba de Infusão,Samtronic,Infusion Systems (Linha Antiga),30634 E,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-30778 E,,Bomba de Infusão,Samtronic,Infusion Systems (Linha Antiga),30778 E,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
SN-30780 E,,Bomba de Infusão,Samtronic,Infusion Systems (Linha Antiga),30780 E,,sala de distribuição,"Equipamento alocado, pertencente ao TERMO DE COMODATO Nº 02/2025.",Boa
